file,total_tokens,hit_tokens,static_prefix_tokens,cache_hit_ratio,static_prefix_ratio,group,error
/home/ldx/mlperf/inference/laga/r001.json,5604,0,5447,0.0,0.972,579fa40b14b46ec713004dfcb827c4c6,
/home/ldx/mlperf/inference/laga/r002.json,2082,0,2050,0.0,0.9846,6df39de5e27b5fe8f067de61957422cb,
/home/ldx/mlperf/inference/laga/r004.json,2262,0,2050,0.0,0.9063,6df39de5e27b5fe8f067de61957422cb,
/home/ldx/mlperf/inference/laga/r003.json,5784,0,5447,0.0,0.9417,579fa40b14b46ec713004dfcb827c4c6,
/home/ldx/mlperf/inference/laga/r005.json,5966,0,5447,0.0,0.913,579fa40b14b46ec713004dfcb827c4c6,
/home/ldx/mlperf/inference/laga/r006.json,1102,0,1102,0.0,1.0,2b903699a0d7cbb257e3ce773548d1b3,
/home/ldx/mlperf/inference/laga/r007.json,2575,0,2575,0.0,1.0,871ac5ff474c9b2cc8a13b05dc7ab4e6,
/home/ldx/mlperf/inference/laga/r009.json,761,0,761,0.0,1.0,ffb1716657564aade35a821cb1ec116e,
/home/ldx/mlperf/inference/laga/r011.json,4936,0,4936,0.0,1.0,3f505b333d6f689cfddc849f15cef153,
/home/ldx/mlperf/inference/laga/r013.json,5107,0,2328,0.0,0.4558,22b675700c63f772bceaf64d2a4632c5,
/home/ldx/mlperf/inference/laga/r008.json,38894,0,2328,0.0,0.0599,22b675700c63f772bceaf64d2a4632c5,
/home/ldx/mlperf/inference/laga/r014.json,8768,0,5447,0.0,0.6212,579fa40b14b46ec713004dfcb827c4c6,
/home/ldx/mlperf/inference/laga/r015.json,5246,0,2050,0.0,0.3908,6df39de5e27b5fe8f067de61957422cb,
